Transaction Hash	Status	Method	Blockno	DateTime (UTC)	From	From_Nametag	To	To_Nametag	Amount	Value (USD)	Txn Fee
0xddca92ba5a3adb5c48803b57a4c2a575dc83457e2dfa988193810fe2f293e515	Success	Transfer	49648486	5/14/2025 9:46	0x061f65731068f9439ce2400b187bc49d87ae1044		0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d	USD Coin: USDC Token	0 BNB	$0.00 	0.00017672
0x9dc827ae75775eb6c0151d2bda275c742574afad125e5ed9626f5533ef356ac4	Success	Redeem Underlying	49648463	5/14/2025 9:45	0x061f65731068f9439ce2400b187bc49d87ae1044		0xeca88125a5adbe82614ffc12d0db554e2e2867c8	Venus: vUSDC Token	0 BNB	$0.00 	0.00062604
0xfd74af6831557167096de6a09625889bf1d6eb0cd203e4ef93925a5258bfd3de	Success	Transfer*	49334124	5/8/2025 22:46	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x21a94e8195c4f10d714bc815fa6a4bebf0470e1a1c2404216b4c4417dbeef086	Success	Transfer*	49330815	5/8/2025 21:23	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x167f3e8fe12f240b32b61366a078fc60f623a98295804558cbfdf90a6f4088f0	Success	Transfer*	49306242	5/8/2025 11:07	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x7be08b3a6a14003260d1a1a8569a47a6f43318899896ca6fc756e4cf50a2b3a2	Success	Transfer*	49302436	5/8/2025 9:32	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xc027e5504809b310b5ccd867505c02f4eb579df973ffcf9145ed70f178df0dac	Success	Transfer*	49298577	5/8/2025 7:56	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x8e98eebecfc5d49aaa6f8690dc9096b4f34284a0d8df9a8cb55866c67398e7c5	Success	Transfer*	49295142	5/8/2025 6:30	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x387142cc77075fc0cb45da63267ca7fcdc27074f84030e14c111ebc0b19e68cf	Success	Transfer*	49291746	5/8/2025 5:05	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xcdac36297197b03ae5186427d797e088cd84e4b9169607b33185b67f8b8a98a2	Success	Transfer*	49288291	5/8/2025 3:38	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x861e9dc3d66c14ce88f187c7c98d50892db18dd333b07f120db8fab697b9bd21	Success	Transfer*	49284897	5/8/2025 2:13	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xd7ad01773c16eefa77473df4b9d0de36bb8fc740df56b3fed3c9292d57ec4e3e	Success	Transfer*	49281444	5/8/2025 0:47	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xe29160438c31d3acf816f1af72092c444f3122b9da5550e0a15b19f8afdb6b32	Success	Transfer*	49277739	5/7/2025 23:15	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x3e9bf55290fc3ba4985bbf6fe4a0537657c32f9843a543034159075a101f1ea6	Success	Transfer*	49273999	5/7/2025 21:41	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x3b69c9ca2a430b8e53b8b2d07a2f20feb02a33900a4a1845b58c3769190163f9	Success	Transfer*	49270055	5/7/2025 20:02	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x32a8c842f652bba2b3a9f37f87d0be486ea8fa8c4ab71a73647dd25036cb2f5b	Success	Transfer*	49266151	5/7/2025 18:25	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xadc4da067000e52191ca036d7c67bae89131011607401e87d547b9ab7a48cda8	Success	Transfer*	49262498	5/7/2025 16:53	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x7542db86b3badc3e927e3c779bd690048351207372d033839e2009d6e0991f60	Success	Transfer*	49258797	5/7/2025 15:21	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x1b78b200e35322e1f507a9d072cba8acb5203b01536846e3c1634ffb09b1704b	Success	Transfer*	49250148	5/7/2025 11:45	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x3a400f2f8045a1effe35c58c9652451207939b8582d33c634f5d6aff83afc8da	Success	Transfer*	49246221	5/7/2025 10:06	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x324be6e82d344ea4069e7102d205bf15ec38604015289d473c87ebf7ba78c638	Success	Transfer*	49242215	5/7/2025 8:26	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x14cbbac7757c725de402c28e3da803169b3d36808eb3a32a4a0aee910bccfa07	Success	Transfer*	49238428	5/7/2025 6:52	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x68da19a9b1026b3b947a52a1dac4e43a28b8f0c3c29252d1fe4e47ccd0aaf5cc	Success	Transfer*	49234644	5/7/2025 5:17	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x1ae23d439e4e60a301e4c2389768785bc2c50ae4bdbde2f6cefbc7c434c25b3c	Success	Transfer*	49230899	5/7/2025 3:43	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x84c8da33190d980caa02405e53927c6e53acc387bd112b99b3d759d97b962614	Success	Transfer*	49227220	5/7/2025 2:11	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x0b2fdd60a76224bc432d93542c2754ac6e52be9f84309eff84d38f82dd811b0b	Success	Transfer*	49223382	5/7/2025 0:35	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xbd69da36a648f4e4f617aeb49227ed80d4ff59bf2f5b64431a1104315263bc6f	Success	Transfer*	49219554	5/6/2025 23:00	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xaa316b8066a1062de2d964433a603f8fa64fb37f15cfe4f20112fbcfb10f1a4f	Success	Mint	48432530	4/17/2025 8:48	0x061f65731068f9439ce2400b187bc49d87ae1044		0xeca88125a5adbe82614ffc12d0db554e2e2867c8	Venus: vUSDC Token	0 BNB	$0.00 	0.0007672
0x9808089e67125d24083480efd640ab2ea642989736e2a373208cdf4862952b67	Success	Approve	48432523	4/17/2025 8:47	0x061f65731068f9439ce2400b187bc49d87ae1044		0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d	USD Coin: USDC Token	0 BNB	$0.00 	0.00016125
0x6a547222553b74aa2ea0aba23d80adcc718d6fa704e6f5868fb88ee81e800152	Success	Transfer	48432412	4/17/2025 8:42	0x061f65731068f9439ce2400b187bc49d87ae1044		0x55d398326f99059ff775485246999027b3197955	BUSD-T Stablecoin	0 BNB	$0.00 	0.00010361
0x39a6baff65e4a7fb17edadc9ca396b526fb78eb06907d365c6171cc4693ad1db	Success	Redeem Underlying	48432381	4/17/2025 8:40	0x061f65731068f9439ce2400b187bc49d87ae1044		0xfd5840cd36d94d7229439859c0112a4185bc0255	Venus: vUSDT Token	0 BNB	$0.00 	0.00063684
0x396ded0f53ee7b571c89e2c22b894f950430827bf22ffcb27d75e1c26bb30f56	Success	Mint	45747243	1/14/2025 2:50	0x061f65731068f9439ce2400b187bc49d87ae1044		0xfd5840cd36d94d7229439859c0112a4185bc0255	Venus: vUSDT Token	0 BNB	$0.00 	0.00071953
0xbe806f1a12a752df4a3c28830e87e1bfdd74c0c72f223739913f4995f8f83ea2	Success	Approve	45691205	1/12/2025 4:08	0x061f65731068f9439ce2400b187bc49d87ae1044		0x55d398326f99059ff775485246999027b3197955	BUSD-T Stablecoin	0 BNB	$0.00 	0.00013951
0xcbc52217f9937cc7b669e37e32279caf3783cd772ba1e182ad08159a7c470e2c	Success	Transfer	45677465	1/11/2025 16:41	0xe6bb2e05dfde09260aa5fbb1df52a023ee73e990		0x061f65731068f9439ce2400b187bc49d87ae1044		0.029937 BNB	$18.87 	0.000063